film,ICSD?,band gap (eV),n,stability,B,mu,nsites,elements,MW,density,CTE,x-tal,a,film orientation,film lattice parameter,% strain,sub_orientation,substrate
CaTmO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Ca', 'Tm', 'O']",257.009,5.473601075707323,0.0,perovskite,4.272,(100),4.272,1.3282732447817847,(100),MgO
Ti2ZnO4,false,0.0,0.0,metastable,0.0,0.0,7.0,"['Ti', 'Zn', 'O']",225.12,4.795119393938517,0.0,spinel,8.544,(100)/2,4.272,1.3282732447817847,(100),MgO
ZrCdO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Zr', 'Cd', 'O']",251.632,5.806339458576674,0.0,perovskite,4.159,(100),4.159,1.3519924098671816,(100),MgO
AlBiO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Al', 'Bi', 'O']",283.959,6.037051899615939,0.0,perovskite,4.275,(100),4.275,1.3994307400379544,(100),MgO
NdInO3,false,1.6467999999999998,0.0,metastable,0.0,0.0,5.0,"['Nd', 'In', 'O']",307.055,7.103770977716351,0.0,perovskite,4.156,(100),4.156,1.4231499051233514,(100),MgO
SrTlO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Sr', 'Tl', 'O']",340.00000000000006,7.2033278327533825,0.0,perovskite,4.28,(100),4.28,1.5180265654648968,(100),MgO
NdSbO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Nd', 'Sb', 'O']",313.997,6.643062743880359,0.0,perovskite,4.282,(100),4.282,1.5654648956356696,(100),MgO
VCr2O4,false,0.0,0.0,metastable,0.0,0.0,7.0,"['V', 'Cr', 'O']",218.93,4.628554348521298,0.0,spinel,8.565,(100)/2,4.2825,1.5773244781783577,(100),MgO
PbAuO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Pb', 'Au', 'O']",452.16400000000004,10.514280914279322,0.0,perovskite,4.149,(100),4.149,1.5891840607210665,(100),MgO
Co2CuO4,false,0.0,0.0,metastable,0.0,0.0,7.0,"['Co', 'Cu', 'O']",245.40800000000002,5.713238639035527,0.0,spinel,8.294,(100)/2,4.147,1.6366223908918394,(100),MgO
EuPbO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Eu', 'Pb', 'O']",407.161,8.594428006411011,0.0,perovskite,4.285,(100),4.285,1.6366223908918394,(100),MgO
BaInO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Ba', 'In', 'O']",300.142,6.331161973233718,0.0,perovskite,4.286,(100),4.286,1.6603415559772152,(100),MgO
PmInO3,false,1.6185,0.0,metastable,0.0,0.0,5.0,"['Pm', 'In', 'O']",307.815,7.17178954663811,0.0,perovskite,4.146,(100),4.146,1.6603415559772363,(100),MgO
ZrZnO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Zr', 'Zn', 'O']",204.611,4.7781155825131005,0.0,perovskite,4.143,(100),4.143,1.7314990512334059,(100),MgO
YSnO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Y', 'Sn', 'O']",255.613,5.97375729057571,0.0,perovskite,4.142,(100),4.142,1.7552182163187817,(100),MgO
SrScO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Sr', 'Sc', 'O']",180.57300000000004,4.225974288378024,0.0,perovskite,4.14,(100),4.14,1.8026565464895756,(100),MgO
BaPtO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Ba', 'Pt', 'O']",380.402,8.913980135863296,0.0,perovskite,4.138,(100),4.138,1.8500948766603484,(100),MgO
DySnO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Dy', 'Sn', 'O']",329.207,7.712473706428706,0.0,perovskite,4.138,(100),4.138,1.8500948766603484,(100),MgO
GdCdO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Gd', 'Cd', 'O']",317.658,7.442256580708544,0.0,perovskite,4.138,(100),4.138,1.8500948766603484,(100),MgO
SrAuO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Sr', 'Au', 'O']",332.584,7.806570144195962,0.0,perovskite,4.136,(100),4.136,1.8975332068311213,(100),MgO
Al(CoO2)2,false,0.0,0.0,metastable,0.0,0.0,7.0,"['O', 'Al', 'Co']",208.844,4.9050166988066,0.0,spinel,8.27,(100)/2,4.135,1.921252371916518,(100),MgO
Mn2ZnO4,false,0.0,0.0,metastable,0.0,0.0,7.0,"['Mn', 'Zn', 'O']",239.26200000000003,5.004190848001296,0.0,spinel,8.596,(100)/2,4.298,1.9449715370018938,(100),MgO
MgZrO3,false,2.0552,0.0,metastable,0.0,0.0,5.0,"['Mg', 'Zr', 'O']",163.526,3.845387571401235,0.0,perovskite,4.133,(100),4.133,1.9686907020872908,(100),MgO
MgMn2O4,false,0.08299999999999974,0.0,metastable,0.0,0.0,7.0,"['Mg', 'Mn', 'O']",198.17700000000002,4.135722363543122,0.0,spinel,8.602,(100)/2,4.301,2.0161290322580636,(100),MgO
BaTaO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Ba', 'Ta', 'O']",366.272,8.628535380730046,0.0,perovskite,4.131,(100),4.131,2.0161290322580636,(100),MgO
Cu(NiO2)2,false,0.0,0.0,metastable,0.0,0.0,7.0,"['Ni', 'O', 'Cu']",244.928,5.77318048870885,0.0,spinel,8.26,(100)/2,4.13,2.0398481973434603,(100),MgO
BaCdO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Ba', 'Cd', 'O']",297.735,6.206805514125855,0.0,perovskite,4.303,(100),4.303,2.063567362428836,(100),MgO
SnPbO3,false,1.0389,0.0,metastable,0.0,0.0,5.0,"['Sn', 'Pb', 'O']",373.907,8.828742790401577,0.0,perovskite,4.128,(100),4.128,2.0872865275142334,(100),MgO
EuErO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Eu', 'Er', 'O']",367.21999999999997,7.65006990830001,0.0,perovskite,4.304,(100),4.304,2.0872865275142334,(100),MgO
BaPdO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Ba', 'Pd', 'O']",291.744,6.885721971520744,0.0,perovskite,4.128,(100),4.128,2.0872865275142334,(100),MgO
Zn2SiO4,false,2.3636,0.0,metastable,0.0,0.0,7.0,"['Zn', 'Si', 'O']",222.862,5.266284422734016,0.0,spinel,8.254,(100)/2,4.127,2.11100569259963,(100),MgO
PmWO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Pm', 'W', 'O']",376.83700000000005,8.90032582576115,0.0,perovskite,4.127,(100),4.127,2.11100569259963,(100),MgO
PrHfO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Pr', 'Hf', 'O']",367.39500000000004,8.686255885744457,0.0,perovskite,4.126,(100),4.126,2.134724857685006,(100),MgO
Al(CuO2)2,false,0.0,0.0,metastable,0.0,0.0,7.0,"['O', 'Cu', 'Al']",218.07,5.164855065139388,0.0,spinel,8.247,(100)/2,4.1235,2.1940227703984876,(100),MgO
DyInO3,false,1.5367000000000006,0.0,metastable,0.0,0.0,5.0,"['Dy', 'In', 'O']",325.315,7.714620905876316,0.0,perovskite,4.122,(100),4.122,2.2296015180265725,(100),MgO
CaHoO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Ca', 'Ho', 'O']",253.005,5.242610785694643,0.0,perovskite,4.311,(100),4.311,2.2533206831119488,(100),MgO
YbInO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Yb', 'In', 'O']",335.855,7.9754771294907005,0.0,perovskite,4.12,(100),4.12,2.2770398481973455,(100),MgO
BiMoO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Bi', 'Mo', 'O']",352.917,8.400327969313365,0.0,perovskite,4.117,(100),4.117,2.3481973434535153,(100),MgO
SrTmO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Sr', 'Tm', 'O']",304.551,6.28884423301585,0.0,perovskite,4.316,(100),4.316,2.3719165085388907,(100),MgO
SrYbO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Sr', 'Yb', 'O']",308.657,6.375576154367508,0.0,perovskite,4.316,(100),4.316,2.3719165085388907,(100),MgO
BaZnO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Ba', 'Zn', 'O']",250.714,5.975383989729056,0.0,perovskite,4.115,(100),4.115,2.395635673624288,(100),MgO
Cd(GaO2)2,false,1.5793000000000001,2.148,stable,0.0,0.0,7.0,"['O', 'Ga', 'Cd']",315.853,6.514222153939238,0.0,spinel,8.636,(100)/2,4.318,2.4193548387096637,(100),MgO
AlFe3O,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Al', 'Fe', 'O']",210.516,5.0217736515980285,0.0,perovskite,4.114,(100),4.114,2.4193548387096846,(100),MgO
NbBiO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Nb', 'Bi', 'O']",349.883,8.370278615233202,0.0,perovskite,4.11,(100),4.11,2.5142314990512302,(100),MgO
SrAgO3,false,0.0,0.0,metastable,112.04603084050277,0.3163293730833957,5.0,"['Sr', 'Ag', 'O']",243.485,5.8226371368457075,16.66875957468743,perovskite,4.11,(100),4.11,2.5142314990512302,(100),MgO
EuAuO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Eu', 'Au', 'O']",396.92800000000005,9.496959262589133,0.0,perovskite,4.11,(100),4.11,2.5142314990512302,(100),MgO
NbTlO3,false,0.11160000000000014,0.0,metastable,0.0,0.0,5.0,"['Nb', 'Tl', 'O']",345.286,8.267313088456405,0.0,perovskite,4.109,(100),4.109,2.5379506641366274,(100),MgO
MoPbO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Mo', 'Pb', 'O']",351.137,8.413561405503058,0.0,perovskite,4.108,(100),4.108,2.561669829222024,(100),MgO
LaAgO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['La', 'Ag', 'O']",294.771,7.0583472226186075,0.0,perovskite,4.108,(100),4.108,2.561669829222024,(100),MgO
YbCdO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Yb', 'Cd', 'O']",333.44800000000004,7.990284409775507,0.0,perovskite,4.107,(100),4.107,2.5853889943074,(100),MgO
ScSnO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Sc', 'Sn', 'O']",211.663,5.072076719298021,0.0,perovskite,4.107,(100),4.107,2.5853889943074,(100),MgO
InSbO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['In', 'Sb', 'O']",284.575,6.825218971911616,0.0,perovskite,4.106,(100),4.106,2.6091081593927967,(100),MgO
CaHfO3,false,3.6612,0.0,metastable,0.0,0.0,5.0,"['Ca', 'Hf', 'O']",266.565,6.398584471307642,0.0,perovskite,4.105,(100),4.105,2.6328273244781726,(100),MgO
YWO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Y', 'W', 'O']",320.743,7.708549244752746,0.0,perovskite,4.103,(100),4.103,2.6802656546489665,(100),MgO
